Audio,Standby,Built-in,Display,Contacts,Card,Price,Extra,Connectivity,Capacity,Frequency,Technology,Dimensions,NFC,Front,Features,Messaging,Main,Price_USD,Camera,Whats New,SMS,OS,USB,Build,Games,Radio,Price_RS,Weight,Talktime,Torch,WLAN,Size,GPS,Data,CPU,Resolution,Sensors,Ratings,Bluetooth,Battery,Mobile,Colors,Brand,3G Band,SIM,Memory,2G Band,Browser
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 512MB RAM + 4GB Free,Not Found,Not Found,4GB Free microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, Facebook, Skype, Youtube, Twitter, Yahoo, * 3D Cambered surface Design, Speakerphone",Not Found,1950 mAh,Not Found,FWVGA Screen,N/a,No,1.3 MP,Video,"SMS, MMS, email","3.0 MP, autofocus, Flash Light",62,Not Found,Not Found,Not Found,Android 4.2 (Jelly Bean),Yes,Not Found,built-in + downloadable,No,8300,N/a,Not Found,Yes,Wi-Fi 802.11,5.0 inches,Yes,"GPRS, EDGE, 3G",1.2 GHZ Dual-Core,Not Found,Not Found,Not Found,v3.0,Not Found,Calme_Spark-S33,"Black, White",Calme,WCDMA / 2100,Not Found,Not Found,GSM: 900 / 1800,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 1GB RAM,Not Found,Not Found,microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, Facebook, Skype, Youtube, Twitter, Yahoo, * 3D Cambered surface Design, Speakerphone",Not Found,1800 mAh,Not Found,"QHD Screen With OGS, Multitouch",139.9 x 69.9 x 65.3 x 9.1mm,No,3 MP,Video,"SMS, MMS, email","8 MP, Flash Light",60,Not Found,Not Found,Not Found,Android 4.2.2 (Jelly Bean),Yes,Not Found,built-in + downloadable,No,8000,N/a,Not Found,Yes,Wi-Fi 802.11,4.7 inches,Yes,"GPRS, EDGE, 3G",1.5 GHZ Quad-Core,Not Found,Not Found,Not Found,v3.0,Not Found,Calme_Spark-S20,"Black, White, RED",Calme,WCDMA,Not Found,Not Found,GSM: 900 / 1800,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 1GB RAM,Not Found,Not Found,microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, Facebook, Skype, Youtube, Twitter, Yahoo, * 3D Cambered surface Design, Speakerphone",Not Found,1900 mAh,Not Found,"QHD Screen With OGS, Multitouch",144 x 71 x 8.7mm,No,3 MP,Video,"SMS, MMS, email","8 MP, autofocus, Flash Light",60,Not Found,Not Found,Not Found,Android 4.2.2 (Jelly Bean),Yes,Not Found,built-in + downloadable,No,7999,N/a,Not Found,Yes,Wi-Fi 802.11,5.0 inches,Yes,"GPRS, EDGE, 3G",1.5 GHZ Quad-Core,Not Found,Not Found,Not Found,v3.0,Not Found,Calme_Spark-S30,"Black, White",Calme,WCDMA,Not Found,Not Found,GSM: 900 / 1800,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 512MB RAM,Not Found,Not Found,microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, * Facebook, Skype, Youtube, Speakerphone",Not Found,1470 mAh,Not Found,IPS WVGA Screen,125 x 64.2 x 9.2mm,No,No,Video,"SMS, MMS, email","5.0 MP, autofocus, LED Flash",56,Not Found,Not Found,Not Found,Android 4.2.2 (Jelly Bean),Yes,Not Found,built-in + downloadable,No,7500,N/a,Not Found,Yes,Wi-Fi 802.11,4.0 inches,Yes,"GPRS, EDGE",1.2GHZ Dual-Core,Not Found,Not Found,Not Found,Yes,Not Found,Calme_Spark-S8,"Black, White",Calme,WCDMA,Not Found,Not Found,GSM: 900 / 1800,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 512MB RAM + 4GB Free,Not Found,Not Found,4GB Free microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, Facebook, Skype, Youtube, Twitter, Yahoo, * 3D Cambered surface Design, Speakerphone",Not Found,1750mAh,Not Found,FWVGA Screen,N/a,No,1.3 MP,Video,"SMS, MMS, email","3.0 MP, autofocus, Flash Light",56,Not Found,Not Found,Not Found,Android 4.2 (Jelly Bean),Yes,Not Found,built-in + downloadable,No,7500,N/a,Not Found,Yes,Wi-Fi 802.11,4.5 inches,Yes,"GPRS, EDGE, 3G",1.2GHZ Dual-Core,Not Found,Not Found,Not Found,v3.0,Not Found,Calme_Spark-S22,"Black, White",Calme,WCDMA / 2100,Not Found,Not Found,GSM: 900 / 1800,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 512MB RAM,Not Found,Not Found,microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, * Facebook, Skype, Youtube, Speakerphone",Not Found,1470mAh,Not Found,IPS WVGA Screen,125 x 64.2 x 9.0mm,No,VGA camera,Video,"SMS, MMS, email","5.0 MP, autofocus, LED Flash",52,Not Found,Not Found,Not Found,Android 4.2.2 (Jelly Bean),Yes,Not Found,built-in + downloadable,No,7000,N/a,Not Found,Yes,Wi-Fi 802.11,4.0 inches,Yes,"GPRS, EDGE",1.2GHZ Dual-Core,Not Found,Not Found,Not Found,v3.0,Not Found,Calme_Spark-S9,"Black, White, Coffee",Calme,WCDMA / 2100,Not Found,Not Found,GSM: 900 / 1800,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 1GB RAM,Not Found,Not Found,microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, Facebook, Skype, Youtube, Twitter, Google Talk, Speakerphone",Not Found,1670 mAh,Not Found,IPS QHD Screen With OGS,133 x 65.3 x 9.0mm,No,2 MP,"Panorama, Video","SMS, MMS, email","8.0 MP, autofocus, LED Flash",45,Not Found,Not Found,Not Found,Android 4.2.2 (Jelly Bean),Yes,Not Found,built-in + downloadable,No,5990,N/a,Not Found,Yes,Wi-Fi 802.11,4.5 inches,Yes,"GPRS, EDGE, 3G",1.2GHZ Quad-Core,Not Found,Not Found,Not Found,v3.0,Not Found,Calme_Spark-S10,Black,Calme,WCDMA,Not Found,Not Found,GSM: 900 / 1800,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 512MB RAM,Not Found,Not Found,microSD Card (supports up to 32GB),Not Found,"Maps, Gmail, Facebook, Skype, Youtube, Twitter, Yahoo, * 3D Cambered surface Design, Video player, audio player, Google Android Market",Not Found,1500 mAh,Not Found,IPS WVGA Touch Display,125.9 x 65.4 x 11.2 mm,No,1.0 MP Camera,Video,"SMS, MMS, email","3 MP, Auto Focus, LED Flash",36,Not Found,Not Found,Not Found,Android 4.4.2( Kit Kat),microUSB,Not Found,Built-in + downloadable,FM Radio,4800,N/a,Not Found,Yes,Wi-Fi 802.11,4.0 inches,Yes,"GPRS, EDGE, 3G",1.5 GHz Dual core,768 x 480 pixels,proximity sensor,Not Found,Yes,Not Found,Calme_Spark-S25,"white, Black, Golden",Calme,WCDMA 850 / 2100,Dual-SIM,Not Found,"SIM1 850/ 900 / 1800 / 1900
SIM2 850/ 900 / 1800 / 1900",HTML5
"3.5mm audio jack, Speakerphone",Not Found,"4GB built-in, 512MB RAM",Not Found,Not Found,microSD Card (supports up 64GB),Not Found,"Google Search, Maps, Gmail, Facebook, Skype, Youtube, Twitter, Yahoo, Speakerphone",Not Found,1400 mAh,Not Found,IPS WVGA Touch Display,127.4 x 63.8 x 9.1 mm,No,1.3 MP Camera,Video,"SMS, MMS, email","5 MP, autofocus, Flash Light",36,Not Found,Not Found,Not Found,Android 4.4 (Kit Kat),Yes,Not Found,built-in + downloadable,No,4800,N/a,Not Found,Yes,Wi-Fi 802.11,4.0 Inches,Yes,"GPRS, EDGE, 3G",1.5GHZ Dual-Core,768 x 480 pixels,proximity sensor,Not Found,v3.0,Not Found,Calme_Spark-S24,"Black, White",Calme,WCDMA,Dual-SIM,Not Found,GSM: 900 / 1800 / 2100,HTML5
"3.5mm audio jack, Speakerphone",Not Found,4GB built-in 512MB RAM,Not Found,Not Found,microSD card (supports up to 32GB),Not Found,"Maps, Gmail, Facebook, Skype, Youtube, Twitter, Yahoo, * 3D Cambered surface Design, Video player, audio player, Google Android Market",Not Found,N/a,Not Found,WVGA Display,N/a,No,1.0 MP Camera,Video,"SMS, MMS, email","3.0 MP, Auto Focus, LED Flash",34,Not Found,Not Found,Not Found,Android 4.4.2( Kit Kat),microUSB,Not Found,Built-in + downloadable,FM Radio,4500,N/a,Not Found,Yes,Wi-Fi 802.11,4.0 inches,Yes,"GPRS, EDGE, 3G",1.5 GHz Dual-Core,768 x 480 pixels,proximity sensor,Not Found,Yes,Not Found,Calme_Spark-S15,"white, Black, Golden",Calme,WCDMA 850 / 2100,Dual-SIM,Not Found,"SIM1 850/ 900 / 1800 / 1900
SIM2 850/ 900 / 1800 / 1900",HTML5
